country,pop,urban,gdp,lifeexpm,lifeexpf,birthrat,deathrat,infmr,fertrate,region,develop,radio,phone,hospbed,docs
"Myanmar",42.6419982910156,25,530,57,61,29,10,68,3.70000004768372,11,1,7.692307472229,0.199600800871849,6.24219703674316,2.95072293281555
"Namibia",1.57400000095367,33,1400,58,63,45,10,66,5.69999980926514,4,0,17.2413787841797,5.88235282897949,60.2409629821777,2.24719095230103
"Nepal",20.0860004425049,8,165,51,51,38,14,90,5.5,12,1,3.125,0.240963861346245,2.5252525806427,0.509061276912689
"Netherlands",15.1120004653931,88.3000030517578,16600,75,81,13,9,7,1.5,17,0,83.3333358764648,62.5,60.9756088256836,24.1545886993408
"New Zealand",3.34699988365173,76,14000,72,80,15,8,10,1.79999995231628,18,0,90.9090881347656,71.4285736083984,90.090087890625,27.8551540374756
"Nicaragua",3.87800002098083,60,425,61,66,37,8,57,5,7,1,23.2558135986328,1.21951222419739,13.140604019165,5.95947551727295
"Niger",8.05200004577637,21,300,42,45,58,23,125,7,5,1,5.26315784454346,0.177619889378548,NA,NA
"Nigeria",88.5,35,230,48,50,46,17,110,6.80000019073486,5,1,8.33333301544189,0.416666656732559,8.75656700134277,1.44927537441254
"North Korea",22.2269992828369,60,1035,66,72,24,6,30,3.20000004768372,10,1,16.6666660308838,NA,135.135131835938,27.027027130127
"Norway",4.29400014877319,75,17100,74,81,14,11,7.09999990463257,1.70000004768372,15,0,76.9230804443359,62.5,59.523811340332,32.3624610900879
"Oman",1.58700001239777,10,4852,65,69,NA,NA,40,7.09999990463257,13,1,62.5,7.14285707473755,26.3157901763916,9.33706855773926
"Pakistan",121.643997192383,32,380,56,57,43,14,105,5.90000009536743,12,1,7.692307472229,0.763358771800995,5.86166477203369,4.23011827468872
"Panama",2.52900004386902,53,1150,73,77,26,5,17,2.90000009536743,7,1,40,10.7526884078979,30.3030300140381,11.3636360168457
"Papua New Guinea",4.00600004196167,15,800,55,56,34,11,55,NA,18,1,6.66666650772095,2.08333325386047,45.0450439453125,0.840053737163544
"Paraguay",4.92899990081787,46,1460,71,74,33,5,28,4.30000019073486,8,1,18.518518447876,2.38095235824585,10.741138458252,9.92063522338867
"Peru",22.7670001983643,70,920,63,67,28,8,59,4,8,1,19.230770111084,3.57142853736877,16,10.0300903320312
"Poland",38.3849983215332,62,4300,68,76,14,9,14,2.09999990463257,14,0,27.7777786254883,13.3333330154419,64.9350662231445,21.2314224243164
"Portugal",10.4479999542236,34,8400,71,78,12,10,10,1.70000004768372,16,0,23.8095245361328,27.7777786254883,43.4782600402832,28.4090900421143
"Romania",23.1690006256104,55,3100,68,74,14,10,22,2,14,0,13.6986303329468,12.9870128631592,93.4579467773438,21.1864414215088
"Rwanda",8.20600032806396,5,310,51,55,52,15,108,8,1,1,9.09090900421143,0.201207250356674,10.9649124145508,0.215693891048431
"Saudi Arabia",16.8999996185303,78,5800,65,68,38,7,69,7.09999990463257,13,1,30.3030300140381,7.692307472229,24.630542755127,11.7370891571045
"Senegal",8.20499992370605,30,615,54,57,44,13,80,6.19999980926514,5,1,11.4942531585693,0.666666686534882,8.8183422088623,0.585754454135895
"Sierra Leone",4.45599985122681,33,330,43,48,46,21,148,6.40000009536743,5,1,23.8095245361328,0.625,10.2040815353394,0.760456264019012
"Singapore",2.79200005531311,100,13900,73,78,18,5,6,1.70000004768372,11,1,23.8095245361328,47.6190490722656,36.764705657959,12.8369703292847
"Somalia",7.2350001335144,36,170,56,55,46,13,116,6.5,1,1,5,NA,9.49667644500732,0.524356365203857
"South Africa",41.6879997253418,60,2600,62,67,35,8,51,4.19999980926514,4,0,33.3333320617676,16.3934421539307,NA,7.57575750350952
"South Korea",44.148998260498,74,6300,67,73,15,6,23,1.79999995231628,10,1,100,30.3030300140381,23.3100242614746,9.93048667907715
"Spain",39.1180000305176,79,12400,75,82,11,8,6,1.70000004768372,16,0,29.4117641448975,40,50.5050506591797,36.3636360168457
"Sri Lanka",17.6310005187988,26,410,69,74,21,6,21,2.5,12,1,12.5,0.980392158031464,28.0898876190186,1.51308822631836
"Sudan",28.3050003051758,22,450,53,54,44,14,85,6.30000019073486,3,1,21.7391300201416,0.29585799574852,9.00900936126709,0.774653315544128
"Sweden",8.60200023651123,85,17200,75,81,13,11,6,1.70000004768372,15,0,83.3333358764648,90.9090881347656,67.5675659179688,31.25
"Switzerland",6.82800006866455,60,21700,76,83,12,10,5,1.60000002384186,17,0,38.461540222168,83.3333358764648,99.0099029541016,31.5499992370605
"Syria",13.7299995422363,50,2300,65,67,44,7,45,6.30000019073486,13,1,24.3902435302734,5.88235282897949,11.9047622680664,7.42390489578247
"Tanzania",27.7910003662109,32,260,50,55,50,16,103,7,1,1,16.6666660308838,0.574712634086609,8.44594573974609,0.394446194171906
"Thailand",57.6240005493164,20,1630,67,71,20,7,35,2.20000004768372,11,1,17.5438594818115,2.43902444839478,16.7504196166992,2.36574411392212
"Togo",3.95799994468689,25,400,54,58,48,12,94,6,5,1,20,0.59171599149704,13.297872543335,0.769704461097717
"Trinidad & Tobago",1.2849999666214,64,3600,68,73,21,6,18,2.5,6,1,32.2580642700195,20,31.4465408325195,6.48088121414185
"Tunisia",8.44499969482422,49,1320,70,74,26,5,38,3.40000009536743,3,1,21.2765960693359,4.16666650772095,19.762845993042,5.45256280899048
"Turkey",59.6399993896484,61,3400,68,72,28,6,54,3.20000004768372,13,1,12.8205127716064,14.2857141494751,21.5053768157959,9.02527046203613
"Uganda",19.3859996795654,11,300,50,52,51,15,91,6.80000019073486,1,1,19.6078433990479,0.349650353193283,12.2399024963379,0.5
"United Arab Emirate",2.5220000743866,81,12100,70,74,20,3,23,4.30000019073486,13,1,21.2765960693359,23.2558135986328,22.6244335174561,9.46073818206787
"United Kingdom",57.7980003356934,90,15900,73,79,14,11,8,1.79999995231628,15,0,100,52.6315803527832,72.4637680053711,16.3666114807129
"United States",256.561004638672,76,22470,72,79,14,9,10,1.89999997615814,9,0,200,52.6315803527832,50.5050506591797,24.7524757385254
"Uruguay",3.12100005149841,86,2935,69,76,17,10,22,2.5,8,1,100,17.2413787841797,78.7401580810547,29.3255138397217
"Venezuela",20.6749992370605,83,2590,71,78,28,4,23,3.5,8,1,41.6666679382324,9.09090900421143,27.027027130127,17.3611106872559
"Vietnam",68.963996887207,20,230,63,67,29,8,48,3.70000004768372,11,1,10,0.183823525905609,34.2465744018555,3.22997426986694
"Yemen",10.3940000534058,29,545,49,51,51,16,118,5.69999980926514,13,1,2.85714292526245,0.636942684650421,10.0502510070801,1.80799126625061
"Zaire",39.0839996337891,44,180,52,56,45,14,97,6,2,1,10.3092784881592,0.0974658876657486,21.0084037780762,0.431164562702179
"Zambia",8.74499988555908,49,380,55,59,48,11,77,7,1,1,7.14285707473755,1.28205132484436,32.1543426513672,1.18525540828705
"Zimbabwe",11.0329999923706,25,660,60,64,41,8,59,5.30000019073486,1,1,5.55555534362793,3.22580647468567,22.0750560760498,1.43864190578461
